,code,time,title,tenant_type,group,urgency1,urgency2,business,bug_type,reason
0,230726-00002627,2023-07-26 17:36:52,【三色鸽】对接日志显示成功，但物料没有传到U8,SaaS,项目组,严重,高,库存,代码错误,并发过高，取号器取到相同号码，后续做并发优化处理，现可点重发解决
1,230726-00002624,2023-07-26 17:17:28,【德州敏驰】用户在APP端进行操作扫码备料出库，扫码时使用备料出库的扫码方式，此时，查看基本单位比例与辅助单位比例发现是1:1，但是实际用料的比例不是1:1，如果从库存任务进入，或者单纯【扫码】进行扫描生产单二维码，进入备料出库任务的话，基本单位比例与辅助单位比例是正常的，麻烦查看下是哪里的问题呢,SaaS,移动端,严重,紧急,生产管理,代码错误,按单维度初始值的问题
2,230726-00002622,2023-07-26 17:06:56,【东莞市皖太电子科技有限公司】-物料已上传物料图，但是app的待领料列表操作的时候看不到物料图物料：07-1811-0702,SaaS,M,致命,紧急,生产管理,设计问题,该列表之前接口没有返回attachment 图片这个字段，后端增加字段显示
3,230726-00002619,2023-07-26 16:26:05,嘉益：成品入库任务下达成功，WMS那边回调成功。但是我们系统界面没有将WMS返回信息显示在任务界面上,私有化,CorePaaS,严重,紧急,CorePaaS,代码错误,"本地部署版本为20230619。虽然没有开启审核流，但是会调用回调接口更新审核状态及相关字段，在更新时查询到的字段值为空，导致字段值被覆盖。"
4,230726-00002616,2023-07-26 14:06:10,【南京川木】销售出库同步应收单数据缺失,SaaS,E,致命,中,X,重复发现,cps接口报错
5,230726-00002611,2023-07-26 11:10:38,【石家庄天人农业机械装备有限公司】-订单：Y5SK11F-06-01，物料：021112000485，在物料计划设置中设置的是按单且时间范围是300天，用户反馈生产单均为不合并下达，为什么订单中关联的生产单是：230612-Y5SK11F-06-01-0007和230611-Y5SK11F-06-01-0211，但是分配占用表中占中的是订单Y5F11F-07-01相关的生产单呢,SaaS,M,致命,紧急,主生产计划,重复发现,重复发现，解决办法：解锁占用，重新运行mrp
6,230726-00002609,2023-07-26 10:28:06,无锡贺邦金属制品 订单异常,SaaS,E,严重,高,订单,代码错误,订单O-230630-001缺少审核流快照数据，查询审核流时报错
7,230725-00002603,2023-07-25 20:04:07,【明达铝业】：1.模具报废后新建了保养任务  2.模具生产领用后，在归还前进行了报废处理,SaaS,CorePaaS,致命,紧急,工模具,设计问题,客户操作场景存在问题，已报废的单据还在计划中。兼容客户场景配置，允许这种操作
8,230725-00002601,2023-07-25 17:55:35,【金纬挤出】存货核算初始化失败,SaaS,E,一般,中,X,重复发现,消息模版配置的事件类型为『通知』，需要改为『文件』类型
9,230725-00002600,2023-07-25 17:48:35,【富光】用户生产单：B-230131-034点击完成时提示可完成，点击确认提示有待还料的领用计划用料，查看无还料任务，无领用任务，麻烦查看下是哪里的问题呢,SaaS,M,致命,紧急,生产管理,代码错误,编辑生产单将换料后已出库，但原物料未出库的物料组删除未校验限制住
