areacode,city,district,province,district_geocode
101010100,北京市,北京,北京市,110100
101011600,北京市,东城,北京市,110101
101011700,北京市,西城,北京市,110102
101010300,北京市,朝阳,北京市,110105
101010900,北京市,丰台,北京市,110106
101011000,北京市,石景山,北京市,110107
101010200,北京市,海淀,北京市,110108
101011400,北京市,门头沟,北京市,110109
101011200,北京市,房山,北京市,110111
101010600,北京市,通州,北京市,110112
101010400,北京市,顺义,北京市,110113
101010700,北京市,昌平,北京市,110114
101011100,北京市,大兴,北京市,110115
101010500,北京市,怀柔,北京市,110116
101011500,北京市,平谷,北京市,110117
101011300,北京市,密云,北京市,110118
101010800,北京市,延庆,北京市,110119
101030100,天津市,天津,天津市,120100
101030800,天津市,和平区,天津市,120101
101031200,天津市,河东区,天津市,120102
101031300,天津市,河西区,天津市,120103
101031500,天津市,南开区,天津市,120104
101031600,天津市,河北区,天津市,120105
101031700,天津市,红桥区,天津市,120106
101030400,天津市,东丽区,天津市,120110
101030500,天津市,西青区,天津市,120111
101031000,天津市,津南区,天津市,120112
101030600,天津市,北辰区,天津市,120113
101030200,天津市,武清区,天津市,120114
101030300,天津市,宝坻区,天津市,120115
101031100,天津市,滨海新区,天津市,120116
101030700,天津市,宁河区,天津市,120117
101030900,天津市,静海区,天津市,120118
101031400,天津市,蓟州区,天津市,120119
101090101,石家庄市,石家庄,河北省,130100
101090119,石家庄市,长安区,河北省,130102
101090120,石家庄市,桥西区,河北省,130104
101090121,石家庄市,新华区,河北省,130105
101090122,石家庄市,井陉矿区,河北省,130107
101090123,石家庄市,裕华,河北省,130108
101090115,石家庄市,藁城,河北省,130109
101090118,石家庄市,鹿泉,河北省,130110
101090104,石家庄市,栾城,河北省,130111
101090102,石家庄市,井陉,河北省,130121
101090103,石家庄市,正定,河北省,130123
101090105,石家庄市,行唐,河北省,130125
101090106,石家庄市,灵寿,河北省,130126
101090107,石家庄市,高邑,河北省,130127
101090108,石家庄市,深泽,河北省,130128
101090109,石家庄市,赞皇,河北省,130129
101090110,石家庄市,无极,河北省,130130
101090111,石家庄市,平山,河北省,130131
101090112,石家庄市,元氏,河北省,130132
101090113,石家庄市,赵县,河北省,130133
101090114,石家庄市,辛集,河北省,130181
101090116,石家庄市,晋州,河北省,130183
101090117,石家庄市,新乐,河北省,130184
101090501,唐山市,唐山,河北省,130200
101090513,唐山市,路南区,河北省,130202
101090514,唐山市,路北区,河北省,130203
101090515,唐山市,古冶,河北省,130204
101090516,唐山市,开平区,河北省,130205
101090502,唐山市,丰南,河北省,130207
101090503,唐山市,丰润,河北省,130208
101090509,唐山市,曹妃甸,河北省,130209
101090505,唐山市,滦南,河北省,130224
101090506,唐山市,乐亭,河北省,130225
101090507,唐山市,迁西,河北省,130227
101090508,唐山市,玉田,河北省,130229
101090510,唐山市,遵化,河北省,130281
101090511,唐山市,迁安,河北省,130283
101090530,唐山市,滦州,河北省,130284
101091101,秦皇岛市,秦皇岛,河北省,130300
101091107,秦皇岛市,海港区,河北省,130302
101091108,秦皇岛市,山海关,河北省,130303
101091106,秦皇岛市,北戴河,河北省,130304
101091104,秦皇岛市,抚宁,河北省,130306
101091102,秦皇岛市,青龙,河北省,130321
101091103,秦皇岛市,昌黎,河北省,130322
101091105,秦皇岛市,卢龙,河北省,130324
101091001,邯郸市,邯郸,河北省,130400
101091017,邯郸市,邯山区,河北省,130402
101091018,邯郸市,丛台区,河北省,130403
101091019,邯郸市,复兴区,河北省,130404
101091002,邯郸市,峰峰,河北省,130406
101091008,邯郸市,肥乡,河北省,130407
101091009,邯郸市,永年,河北省,130408
101091003,邯郸市,临漳,河北省,130423
101091004,邯郸市,成安,河北省,130424
101091005,邯郸市,大名,河北省,130425
101091006,邯郸市,涉县,河北省,130426
101091007,邯郸市,磁县,河北省,130427
101091010,邯郸市,邱县,河北省,130430
101091011,邯郸市,鸡泽,河北省,130431
101091012,邯郸市,广平,河北省,130432
101091013,邯郸市,馆陶,河北省,130433
101091014,邯郸市,魏县,河北省,130434
101091015,邯郸市,曲周,河北省,130435
101091016,邯郸市,武安,河北省,130481
101090901,邢台市,邢台,河北省,130500
101090903,邢台市,桥东区,河北省,130502
101090919,邢台市,桥西区,河北省,130503
101090930,邢台市,邢台县,河北省,130521
101090902,邢台市,临城,河北省,130522
101090904,邢台市,内丘,河北省,130523
101090905,邢台市,柏乡,河北省,130524
101090906,邢台市,隆尧,河北省,130525
101090918,邢台市,任县,河北省,130526
101090907,邢台市,南和,河北省,130527
101090908,邢台市,宁晋,河北省,130528
101090909,邢台市,巨鹿,河北省,130529
101090910,邢台市,新河,河北省,130530
101090911,邢台市,广宗,河北省,130531
101090912,邢台市,平乡,河北省,130532
101090913,邢台市,威县,河北省,130533
101090914,邢台市,清河,河北省,130534
101090915,邢台市,临西,河北省,130535
101090916,邢台市,南宫,河北省,130581
101090917,邢台市,沙河,河北省,130582
101090201,保定市,保定,河北省,130600
101090208,保定市,竞秀,河北省,130602
101090213,保定市,莲池,河北省,130606
101090202,保定市,满城,河北省,130607
101090224,保定市,清苑,河北省,130608
101090204,保定市,徐水,河北省,130609
101090222,保定市,涞水,河北省,130623
101090203,保定市,阜平,河北省,130624
101090223,保定市,定兴,河北省,130626
101090205,保定市,唐县,河北省,130627
101090206,保定市,高阳,河北省,130628
101091202,保定市,容城,河北省,130629
101090209,保定市,涞源,河北省,130630
101090210,保定市,望都,河北省,130631
101091203,保定市,安新,河北省,130632
101090212,保定市,易县,河北省,130633
101090214,保定市,曲阳,河北省,130634
101090215,保定市,蠡县,河北省,130635
101090216,保定市,顺平,河北省,130636
101090225,保定市,博野,河北省,130637
101091204,保定市,雄县,河北省,130638
101090218,保定市,涿州,河北省,130681
101090219,保定市,定州,河北省,130682
101090220,保定市,安国,河北省,130683
101090221,保定市,高碑店,河北省,130684
101090301,张家口市,张家口,河北省,130700
101090315,张家口市,桥东区,河北省,130702
101090316,张家口市,桥西区,河北省,130703
101090302,张家口市,宣化,河北省,130705
